iter	Passed	Remaining
0	1	145
1	2	135
2	4	137
3	5	129
4	6	128
5	8	131
6	9	130
7	11	128
8	12	126
9	13	124
10	15	123
11	16	121
12	17	119
13	19	118
14	20	117
15	22	116
16	23	115
17	24	113
18	26	112
19	28	114
20	30	113
21	31	111
22	32	109
23	34	107
24	35	105
25	36	104
26	38	103
27	39	101
28	40	100
29	42	99
30	43	97
31	45	95
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	52	86
38	54	84
39	55	83
40	56	81
41	57	79
42	58	77
43	60	76
44	61	75
45	63	73
46	64	72
47	65	71
48	67	69
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	60
55	75	59
56	77	58
57	78	56
58	79	55
59	81	54
60	82	52
61	83	51
62	85	50
63	86	48
64	87	47
65	89	45
66	90	44
67	91	43
68	92	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	101	33
75	102	32
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	122	10
92	123	9
93	125	8
94	126	6
95	128	5
96	129	4
97	130	2
98	132	1
99	133	0
